frame,x_coordinate,y_coordinate,z_coordinate
108,[-5.61203173],[16.5504134],[89.40863107]
108,[-7.80729929],[-11.84077266],[-98.7738486]
109,[-5.64116656],[16.67416805],[89.96434809]
109,[-7.60804769],[-11.69539466],[-98.22000887]
110,[-5.73261926],[16.96629381],[91.42905905]
110,[-7.49696787],[-11.52551927],[-98.20040307]
111,[-5.74026702],[17.21891798],[92.50709145]
111,[-7.32858046],[-11.4072995],[-98.07834865]
112,[-5.72657447],[17.28631296],[92.68475594]
112,[-7.18106192],[-11.29570258],[-97.95659365]
113,[-5.68927832],[17.20644633],[91.96864801]
113,[-7.24368604],[-11.23248778],[-98.13512273]
114,[-5.64334469],[17.24495012],[91.78181493]
114,[-7.25884461],[-11.12558327],[-97.84386087]
116,[-5.05799569],[18.64612374],[96.11330028]
116,[-7.29190422],[-11.05962337],[-97.90885796]
117,[-5.07684321],[18.79642526],[96.19533046]
117,[-7.2892006],[-10.79560219],[-97.8879536]
118,[-5.17462651],[18.90332019],[96.63077841]
118,[-7.26270475],[-10.69135854],[-97.88546164]
119,[-5.16816501],[18.858314],[96.40769309]
119,[-7.45241538],[-10.61984788],[-97.34470983]
120,[-5.15253722],[18.86017123],[96.36315855]
120,[-7.55086275],[-10.53740886],[-96.68297204]
121,[-5.18903303],[19.01098716],[96.76264906]
121,[-7.60301353],[-10.37974691],[-96.94103681]
122,[-5.21992364],[19.19600206],[97.34505811]
122,[-7.62820537],[-10.2177125],[-96.64322679]
123,[-5.19730202],[19.19715979],[97.1867691]
123,[-7.6798193],[-9.97101277],[-96.49543384]
124,[-5.17653169],[19.21703227],[97.12804833]
124,[-7.83642366],[-9.81325824],[-97.15990838]
125,[-5.26383271],[19.26529392],[97.1776138]
125,[-7.82598147],[-9.66702958],[-96.45725793]
126,[-5.32635265],[19.22452702],[96.82700377]
126,[-7.81450386],[-9.56517699],[-96.24337192]
127,[-5.35503335],[19.26260298],[96.58601668]
127,[-7.82848768],[-9.48792167],[-95.50602736]
128,[-5.4020549],[19.41020048],[96.92927173]
128,[-7.88422979],[-9.41042223],[-95.80308069]
129,[-5.48838864],[19.45677455],[96.64104132]
129,[-7.9113305],[-9.21565037],[-95.22338595]
130,[-5.57121926],[19.53477197],[96.60285535]
130,[-7.93950271],[-8.96894235],[-94.49070449]
131,[-5.62941803],[19.4063067],[95.59720704]
131,[-7.93269732],[-8.56688697],[-92.89648473]
132,[-5.71338754],[19.41027864],[95.22600296]
132,[-7.87066374],[-8.06404651],[-90.98735384]
133,[-5.7504625],[19.39340675],[94.95431499]
133,[-7.77291821],[-7.55515987],[-88.6772452]
134,[-5.7692769],[19.33596012],[94.41950349]
134,[-7.83139165],[-7.39170108],[-88.89773405]
135,[-5.93882454],[19.46938552],[94.7296848]
135,[-7.86451177],[-7.226232],[-88.53589498]
136,[-6.00507251],[19.63279807],[95.41307516]
136,[-7.92533779],[-7.0624626],[-88.30509714]
137,[-6.0204822],[19.62954439],[95.32979378]
137,[-7.97398676],[-6.9637723],[-88.10710769]
138,[-6.06001229],[19.65747268],[95.34172211]
138,[-7.87358362],[-6.87082052],[-87.79425287]
139,[-6.1503037],[19.62778799],[95.13342091]
139,[-7.75886954],[-6.7794162],[-87.70214697]
140,[-6.15557651],[19.31584092],[93.61619126]
140,[-7.65912338],[-6.72040574],[-87.72005755]
141,[-6.33656779],[19.26653849],[93.3138903]
141,[-7.66106379],[-6.72089518],[-87.72832882]
142,[-6.52776517],[19.37288823],[93.90108795]
142,[-7.71013426],[-6.67847368],[-87.34098292]
143,[-6.59481459],[19.01748418],[92.22983238]
143,[-7.81594266],[-6.6742024],[-86.76449365]
144,[-6.79261544],[18.71228636],[91.34961516]
144,[-7.81727276],[-6.63871136],[-86.7657859]
145,[-7.02927388],[18.73093964],[92.03538427]
145,[-7.81069496],[-6.6095407],[-87.09633359]
146,[-7.37288534],[18.5752159],[92.56991141]
146,[-7.77737997],[-6.59960374],[-86.78121903]
147,[-7.64314911],[18.23807335],[92.35907896]
147,[-7.66304665],[-6.5483056],[-86.90826644]
148,[-8.07023242],[17.92425363],[92.53318595]
148,[-7.4339355],[-6.53596357],[-84.84133929]
149,[-8.32527226],[17.29597464],[90.79972775]
149,[-7.31684726],[-6.54038493],[-82.93917668]
150,[-8.50740393],[16.31650015],[87.20604093]
150,[-7.31741809],[-6.66540982],[-81.52813448]
151,[-8.90618134],[15.83997977],[85.77008234]
151,[-7.06569745],[-6.92423035],[-79.41411091]
152,[0.60712819],[-2.42600185],[-8.28211118]
152,[-7.05454038],[-7.31123664],[-78.69136367]
153,[1.90515325],[-1.85616813],[-8.23903959]
153,[-6.66643125],[-7.60768168],[-73.66605278]
154,[1.35914573],[-2.32175057],[-8.19999747]
154,[-7.47825768],[-8.94022642],[-74.52520859]
155,[-4.06551959],[-3.02499777],[7.016247]
155,[-4.06551959],[-3.02499777],[7.016247]
156,[11.3421388],[-14.38501059],[-87.2274842]
156,[-9.64695065],[-9.99719715],[-96.89844336]
157,[146.36620018],[-196.50844022],[-1184.50883297]
157,[-10.460364],[-8.67866844],[-91.57454596]
158,[41.82136316],[-58.23242171],[-340.31004556]
158,[-10.74785269],[-7.85107871],[-89.43086497]
159,[211914.93807912],[-324858.2549739],[-1862379.64039]
159,[-11.01051882],[-7.08469866],[-87.19333477]
160,[9.39471219e+11],[-1.40651026e+12],[-8.05089893e+12]
160,[-11.26425931],[-6.36787457],[-85.37157189]
161,[34.44095781],[-47.94266461],[-280.47854758]
161,[-11.35876999],[-5.58877943],[-82.50564929]
162,[11.71191091],[-14.64152635],[-90.28987431]
162,[-11.20108535],[-4.92782911],[-80.15533728]
163,[11.59032],[-15.04916642],[-91.79908947]
163,[-11.24993143],[-3.94864617],[-77.70347942]
164,[11.36470481],[-15.4204592],[-92.41848585]
164,[-11.28944557],[-3.10267354],[-76.49825524]
165,[11.23898606],[-15.9168376],[-93.50028974]
165,[-2127287.3179739],[-1191398.61528785],[-19469889.73882119]
167,[11.00442698],[-16.64218915],[-95.08308732]
167,[-11.75008717],[-2.2512291],[-78.1356396]
168,[10.98987902],[-19.12486618],[-102.56306951]
168,[-11.54735509],[-1.77281352],[-78.80284128]
169,[11.65895463],[-21.39983943],[-111.92952999]
169,[-11.61989087],[-1.77113],[-78.9157451]
170,[1.62440746],[-0.65302086],[-8.48647786]
170,[-11.49134218],[-1.71381641],[-79.80577624]
171,[1.85927309],[-1.68636812],[-8.25988136]
171,[-11.3340488],[-1.73759345],[-80.75512415]
172,[1.8535143],[-1.56666944],[-8.28522011]
172,[-11.21700105],[-1.66578101],[-81.65427373]
173,[1.46290078],[-0.72137177],[-8.50265117]
173,[-11.12465376],[-1.53823135],[-82.86264801]
174,[1.65666567],[-1.05195625],[-8.43139003]
174,[-10.98195626],[-1.64732197],[-84.5516887]
175,[1.75244462],[-1.66329354],[-8.28173072]
175,[-10.8245547],[-1.80330758],[-86.48428683]
176,[1.71224216],[-1.5267707],[-8.35603738]
176,[-10.62993536],[-1.98474905],[-89.15862624]
177,[1.63517099],[-1.32712765],[-8.42028633]
177,[-10.50596469],[-2.28915892],[-91.38842859]
178,[1.66558473],[-1.51326303],[-8.35155405]
178,[-10.44492736],[-2.65970715],[-94.41732978]
179,[1.66619455],[-1.62596913],[-8.33060273]
179,[-10.33209674],[-3.10802268],[-96.81186505]
180,[1.65163614],[-1.43662303],[-8.4345831]
180,[-10.25557045],[-3.63108386],[-100.64899782]
181,[1.66513984],[-1.52505541],[-8.34457847]
181,[-10.25875501],[-4.48554753],[-106.14421363]
182,[1.67234155],[-1.58341619],[-8.3350869]
182,[-10.32447686],[-5.37385364],[-109.75859954]
183,[1.66992226],[-1.44150753],[-8.35077595]
183,[-10.47094358],[-6.34644122],[-114.16647164]
184,[1.48189566],[-0.87138387],[-8.47546731]
184,[-10.49892167],[-7.42839584],[-117.77923533]
185,[1.69791884],[-1.25730422],[-8.38368137]
185,[-10.48210137],[-8.16905967],[-118.70590401]
186,[1.56336039],[-0.77685742],[-8.46219365]
186,[-10.4626821],[-8.49522663],[-118.99191116]
187,[1.79457406],[-1.16975969],[-8.3476263]
187,[-10.37125283],[-8.79393188],[-118.37292577]
188,[1.83715089],[-1.14757415],[-8.33450412]
188,[-10.59544292],[-8.97923781],[-118.4070864]
189,[1.85921786],[-1.06175556],[-8.31711126]
189,[-10.58609812],[-9.05493379],[-119.30430528]
190,[-4.06551959],[-3.02499777],[7.016247]
190,[-4.06551959],[-3.02499777],[7.016247]
191,[1.88656231],[-1.0603624],[-8.29854381]
191,[-10.62665048],[-9.37953244],[-120.97352673]
192,[1.93703936],[-0.9230421],[-8.36995534]
192,[-10.78719778],[-10.15012501],[-126.87766411]
193,[1.94885734],[-0.8390066],[-8.35546463]
193,[-11.01232394],[-10.88027565],[-133.23948133]
194,[1.95979348],[-0.77008096],[-8.39041354]
194,[-10.92034657],[-11.24807838],[-136.3992057]
195,[1.94988279],[-0.66643681],[-8.35627862]
195,[-11.16308644],[-11.53530982],[-138.66605188]
196,[1.93861637],[-0.57352192],[-8.35703714]
196,[-11.17132932],[-11.53647173],[-141.33050197]
197,[1.9324854],[-0.53835037],[-8.41223663]
197,[-11.27628528],[-11.65950186],[-145.57339886]
198,[1.92827068],[-0.47942244],[-8.42269897]
198,[-11.27878368],[-11.67870628],[-147.36503149]
199,[1.90991871],[-0.5405059],[-8.42733909]
199,[-11.29799525],[-11.72252731],[-149.34482043]
200,[1.89733354],[-0.4963017],[-8.42553962]
200,[-11.06801248],[-11.38446626],[-148.6374128]
201,[1.88605669],[-0.49963533],[-8.41001027]
201,[-10.73993325],[-11.06615631],[-148.87228846]
202,[-4.06551959],[-3.02499777],[7.016247]
202,[-4.06551959],[-3.02499777],[7.016247]
203,[1.87960044],[-0.46381994],[-8.4077084]
203,[-6.93168383],[-6.69329831],[-97.90074274]
204,[1.86974187],[-0.44775813],[-8.41454313]
204,[-6.47548314],[-5.62882118],[-92.5197551]
205,[1.88477125],[-0.62815038],[-8.39466957]
205,[-6.13431037],[-5.02033988],[-87.58436943]
206,[1.88087209],[-0.69643081],[-8.39270598]
206,[-6.08830787],[-4.56582511],[-86.11161221]
207,[1.87419069],[-0.74332853],[-8.39118485]
207,[-6.03735282],[-4.40487381],[-85.92571926]
208,[1.87080016],[-0.70185236],[-8.37754256]
208,[-5.93320266],[-4.31971467],[-85.86991923]
209,[1.86779588],[-0.72453947],[-8.35528521]
209,[-5.75534122],[-4.20129601],[-86.08437979]
210,[1.86688025],[-0.71075416],[-8.39224524]
210,[-5.81461424],[-4.22243344],[-86.20256612]
211,[1.86621754],[-0.73303568],[-8.39580472]
211,[-5.86416299],[-4.24358456],[-86.11065326]
212,[1.86438619],[-0.62329935],[-8.35867293]
212,[-5.81799924],[-4.4430056],[-86.13781293]
213,[1.87691898],[-0.69220779],[-8.43594836]
213,[-5.78613394],[-4.61615443],[-86.38247012]
214,[1.87573769],[-0.65203378],[-8.39255667]
214,[-5.54774102],[-4.86409119],[-87.19295082]
215,[1.88789696],[-0.65592669],[-8.39437096]
215,[-5.51400804],[-5.10319023],[-87.22865437]
216,[1.88624938],[-0.64084525],[-8.39232842]
216,[-5.63884191],[-5.58286888],[-88.52199765]
217,[1.89028961],[-0.64885787],[-8.39565069]
217,[-5.62626787],[-6.17489168],[-87.67285391]
218,[1.88820134],[-0.62781375],[-8.36857996]
218,[-5.57407976],[-6.3965326],[-86.46308249]
219,[1.89922501],[-0.66254388],[-8.42840479]
219,[-5.58101687],[-6.65344621],[-87.13294868]
220,[1.8987984],[-0.6188183],[-8.3935245]
220,[-5.51407829],[-6.84045853],[-87.10536205]
221,[1.8991455],[-0.60703279],[-8.38172715]
221,[-5.48159692],[-7.02894589],[-87.30634352]
222,[1.89250072],[-0.62378552],[-8.38507291]
222,[-5.38634661],[-7.08559485],[-87.96866308]
223,[1.882886],[-0.6352283],[-8.38137921]
223,[-5.44996201],[-7.21891855],[-88.17576178]
224,[-4.06551959],[-3.02499777],[7.016247]
224,[-4.06551959],[-3.02499777],[7.016247]
225,[1.88358743],[-0.64302547],[-8.41250965]
225,[-6.10790324],[-7.13534879],[-95.33239165]
226,[1.8888707],[-0.65496793],[-8.42303689]
226,[-5.97709856],[-6.81749302],[-94.80230761]
227,[1.89601415],[-0.5988719],[-8.41751522]
227,[-5.86907821],[-6.81137512],[-94.82341146]
228,[1.90350391],[-0.58091323],[-8.41576303]
228,[-5.44384541],[-6.25367431],[-93.96053158]
229,[1.9075153],[-0.62068459],[-8.4109368]
229,[-5.30227439],[-6.24037431],[-93.88863162]
230,[1.90461208],[-0.70828433],[-8.38613336]
230,[-5.14064017],[-5.98377994],[-92.59050526]
231,[1.91378461],[-0.67611853],[-8.40373776]
231,[-4.96487365],[-5.7545405],[-91.2208992]
232,[1.9235377],[-0.67742218],[-8.37885552]
232,[-4.88591057],[-5.66057024],[-90.61362935]
233,[1.93505453],[-0.76302075],[-8.42351221]
233,[-4.81132026],[-5.58706686],[-90.29623791]
234,[1.92774977],[-0.77732245],[-8.37357875]
234,[-4.83420284],[-5.55149539],[-90.50695201]
235,[1.9376134],[-0.73995377],[-8.37361087]
235,[-4.83188738],[-5.6348894],[-90.79906518]
236,[1.93690061],[-0.73818183],[-8.36735089]
236,[-4.7758391],[-5.72598344],[-91.69107641]
237,[1.93566313],[-0.7112217],[-8.36423936]
237,[-4.7735666],[-5.90559588],[-92.2169228]
238,[1.93206137],[-0.7235958],[-8.3767129]
238,[-4.69922039],[-6.0884759],[-93.34899539]
239,[1.93706354],[-0.70484895],[-8.37867503]
239,[-4.66279637],[-6.37910021],[-94.60888043]
240,[1.93310534],[-0.6094523],[-8.38595201]
240,[-4.75166222],[-6.68620163],[-95.38706112]
241,[1.94710138],[-0.72274402],[-8.3837794]
241,[-4.78101294],[-7.19580267],[-96.55747136]
242,[1.94285946],[-0.73812219],[-8.33942171]
242,[-4.69260923],[-7.46460455],[-96.56510118]
243,[1.95433126],[-0.76285203],[-8.38342049]
243,[-4.44584198],[-7.96869006],[-98.02145722]
244,[1.92631335],[-0.94830914],[-8.37149919]
244,[-4.29840932],[-8.37880456],[-98.8685172]
245,[1.84828665],[-1.19362456],[-8.3802435]
245,[-4.16955465],[-8.66807127],[-98.82763394]
246,[1.76988719],[-1.33203554],[-8.36748458]
246,[-4.03697447],[-8.48069538],[-98.31317053]
247,[1.88639231],[-1.12713954],[-8.37368979]
247,[-4.01138956],[-8.2827548],[-97.48622543]
248,[1.81150892],[-0.14093246],[-8.44403665]
248,[-3.84127049],[-7.93918044],[-97.1099582]
249,[18.80125521],[-17.03259091],[-166.96145235]
249,[-3.66860453],[-7.5377849],[-95.84396921]
250,[17.85787276],[-16.175337],[-157.55344731]
250,[-3.6770765],[-7.22423096],[-95.52131266]
251,[16.54427974],[-14.93195431],[-145.20616195]
251,[-3.53780198],[-6.77100015],[-94.30117304]
252,[16.84507124],[-15.32468416],[-148.23913364]
252,[-3.50475283],[-6.32363516],[-93.09625616]
253,[0.2190295],[1.00619592],[8.6241769]
253,[-3.48669434],[-5.96147911],[-92.88079631]
254,[0.24011786],[0.95015949],[8.52997999]
254,[-3.41809365],[-5.62861327],[-92.50746678]
255,[0.25184072],[0.81778164],[8.57713854]
255,[-3.46073422],[-5.35778263],[-91.71930964]
256,[0.25478651],[0.71464917],[8.5761904]
256,[-3.45176622],[-5.058674],[-91.14483309]
257,[0.26313395],[0.80859939],[8.56460777]
257,[0.79620504],[-0.68255721],[-8.52005042]
258,[0.28014907],[0.75056407],[8.56580163]
258,[0.81867361],[-0.53194924],[-8.53200166]
259,[0.2862546],[0.75905403],[8.6173077]
259,[0.82478018],[-0.54675173],[-8.52247998]
260,[0.27937576],[1.00124389],[8.5716241]
260,[0.59416354],[0.30691691],[-8.60956197]
261,[-17.51466078],[17.65784674],[168.04398046]
261,[-2.93567211],[-3.20649258],[-88.78963302]
262,[28.2118302],[-26.85657545],[-254.54577253]
262,[0.70509354],[0.21181558],[-8.58983928]
263,[1.83073472],[-1.17565293],[-8.35651272]
263,[-2.66752209],[-2.99530761],[-88.54609409]
264,[1.41138641],[-1.69255456],[-8.32674408]
264,[-2.52142078],[-3.01056651],[-88.95312826]
265,[24.67466988],[-25.25282745],[-236.28317997]
265,[-2.37792544],[-3.07456117],[-89.46592601]
266,[22.76826194],[-24.11724411],[-223.26565524]
266,[-2.1730157],[-3.2186871],[-90.36528137]
267,[21.22915788],[-23.30483586],[-212.5894266]
267,[-1.99748139],[-3.32618405],[-91.24781543]
268,[21.14887917],[-24.41040902],[-216.76589386]
268,[-1.91194569],[-3.62202121],[-91.75279538]
269,[-14.35535019],[18.77409083],[163.91858661]
269,[-1.81860115],[-3.98138425],[-92.45780294]
270,[20.71780225],[-25.49265122],[-214.1896354]
270,[-1.70456918],[-4.12291333],[-93.02467538]
271,[1.62342317],[-1.47641286],[-8.36061312]
